Wavelength,Cabbage_far_left,Cabbage_middle,Cabbage_leftfar,Cabbage_near,Soil_cabbage,Egg_plant_rightfar,Egg_plant_middle,Soil_Eggplant,Eggplant_far_left,Mixed_far_left,Eggplant_middle_flower,Mixed_Cabbage_far_right,Soil_mixed_middle
399.856995,0.075423,0.095706,0.069046,0.097021,0.082242,0.074899,0.051711,0.159989,0.047863,0.052434,0.085383,0.063484,0.088904
401.315002,0.076235,0.089607,0.058785,0.09886,0.083209,0.073274,0.042393,0.154623,0.045219,0.04946,0.090453,0.061023,0.088324
403.502014,0.076423,0.092779,0.05566,0.098682,0.080762,0.078727,0.045222,0.14935,0.040669,0.045982,0.093242,0.056746,0.086079
405.688995,0.073888,0.095723,0.05781,0.100851,0.079139,0.078313,0.044853,0.155071,0.044332,0.043031,0.098524,0.055987,0.089296
407.877014,0.077929,0.096776,0.056685,0.101715,0.082312,0.077971,0.043647,0.151037,0.046484,0.042607,0.104094,0.054154,0.090523
409.334991,0.077746,0.098341,0.055045,0.10189,0.081392,0.078829,0.042776,0.149494,0.045775,0.041426,0.108278,0.05475,0.091275
411.522003,0.077928,0.101196,0.057884,0.103502,0.079545,0.078728,0.045321,0.14766,0.042797,0.039108,0.115205,0.053232,0.094448
413.709015,0.076872,0.10269,0.056568,0.106325,0.081016,0.084889,0.04049,0.141928,0.047186,0.03794,0.121993,0.053218,0.097552
415.897003,0.076465,0.105886,0.058592,0.11146,0.08233,0.088434,0.043015,0.140159,0.047886,0.037836,0.130826,0.05352,0.099509
417.355011,0.076174,0.105825,0.058441,0.114486,0.082705,0.089634,0.043026,0.142212,0.049343,0.037692,0.135458,0.05427,0.101402
419.541992,0.078222,0.105287,0.058498,0.115133,0.084212,0.090732,0.04081,0.139032,0.050739,0.035436,0.140214,0.05333,0.101633
421.730011,0.078164,0.107775,0.059178,0.1192,0.086399,0.097164,0.041646,0.138943,0.046707,0.034411,0.149167,0.054305,0.10241
423.916992,0.080318,0.107687,0.058902,0.121692,0.088618,0.09777,0.041309,0.143094,0.043198,0.033359,0.154095,0.053198,0.105244
425.375,0.081391,0.107327,0.059363,0.123118,0.089346,0.098709,0.039168,0.142227,0.045283,0.032956,0.157958,0.054136,0.106076
427.562012,0.083444,0.108532,0.059296,0.125561,0.090029,0.098681,0.041738,0.14352,0.043115,0.033711,0.165576,0.055022,0.107418
429.75,0.084437,0.107071,0.059276,0.126555,0.090721,0.097742,0.039832,0.146843,0.042443,0.031999,0.169361,0.054892,0.109882
431.937012,0.085643,0.110791,0.06007,0.127927,0.091747,0.098233,0.037769,0.149634,0.042153,0.032189,0.176203,0.055476,0.112627
433.394989,0.08623,0.111094,0.060179,0.131069,0.092699,0.100172,0.034899,0.15114,0.040341,0.032868,0.181804,0.056827,0.113437
435.583008,0.086489,0.111246,0.058528,0.133168,0.091112,0.097392,0.032817,0.152408,0.038676,0.030821,0.18547,0.057142,0.116888
437.769989,0.086953,0.112912,0.059241,0.135733,0.090678,0.098467,0.033756,0.153995,0.039752,0.031094,0.189623,0.059381,0.117855
439.957001,0.085783,0.113337,0.060506,0.137356,0.091389,0.100939,0.034931,0.156409,0.039462,0.03033,0.194564,0.060316,0.120093
441.415009,0.085929,0.113212,0.059919,0.139137,0.092682,0.100969,0.035701,0.156181,0.038935,0.029399,0.196247,0.060617,0.12163
443.602997,0.086563,0.115338,0.059497,0.141015,0.092901,0.100791,0.035738,0.156906,0.037979,0.030071,0.198212,0.061408,0.124202
445.790009,0.088564,0.115684,0.058979,0.143849,0.093509,0.101806,0.036435,0.157093,0.03786,0.029809,0.199559,0.062309,0.124493
447.97699,0.088501,0.114762,0.059532,0.144193,0.093188,0.102132,0.039658,0.157349,0.037246,0.029488,0.200641,0.063008,0.125911
449.436005,0.088971,0.115421,0.059946,0.144583,0.092825,0.1019,0.040542,0.158686,0.038267,0.029771,0.201626,0.064479,0.127597
451.622986,0.089784,0.115833,0.059657,0.145784,0.093721,0.104586,0.038153,0.158594,0.037059,0.029439,0.202177,0.06417,0.129969
453.809998,0.091361,0.115608,0.058774,0.147273,0.094609,0.10316,0.038877,0.159942,0.037162,0.028668,0.20135,0.06524,0.130598
455.997009,0.092382,0.116564,0.059608,0.146575,0.093712,0.104976,0.040531,0.16155,0.038177,0.027993,0.202422,0.065848,0.131389
457.455994,0.092593,0.116564,0.05935,0.148039,0.093388,0.106399,0.038966,0.162363,0.038594,0.028027,0.203431,0.066565,0.131912
459.643005,0.092755,0.114918,0.059685,0.148769,0.093429,0.107759,0.038488,0.162309,0.039512,0.027994,0.204255,0.067446,0.133424
461.829987,0.092481,0.115123,0.059612,0.149449,0.093467,0.107927,0.038793,0.163693,0.039741,0.028302,0.204784,0.067458,0.135016
463.287994,0.093078,0.114789,0.059355,0.151088,0.094004,0.109678,0.038618,0.16374,0.040211,0.028486,0.204648,0.06669,0.135003
465.476013,0.092951,0.112922,0.059482,0.151847,0.094399,0.110502,0.038191,0.164697,0.041803,0.027948,0.204309,0.067595,0.135675
467.662994,0.093481,0.112157,0.06008,0.152875,0.093888,0.113145,0.039644,0.165396,0.042408,0.028136,0.204467,0.067849,0.136968
469.850006,0.09335,0.111209,0.060743,0.15335,0.094588,0.113968,0.038723,0.164742,0.042403,0.028255,0.203987,0.068149,0.137623
471.30899,0.093933,0.110368,0.060851,0.152947,0.095992,0.113475,0.038355,0.164506,0.041896,0.028077,0.203384,0.068376,0.137978
473.496002,0.092029,0.109952,0.060451,0.152608,0.095972,0.11527,0.040624,0.167554,0.042542,0.027731,0.201993,0.067957,0.139244
475.683014,0.092388,0.109421,0.061045,0.153158,0.095708,0.116758,0.040303,0.167452,0.043843,0.02736,0.199937,0.068287,0.14035
477.871002,0.092093,0.110257,0.061813,0.152017,0.097149,0.118384,0.041447,0.167865,0.043721,0.027552,0.199215,0.068455,0.140944
479.32901,0.091341,0.110503,0.061699,0.153442,0.096897,0.117661,0.041939,0.168996,0.043529,0.027693,0.199656,0.068942,0.14214
481.515991,0.090558,0.110078,0.061441,0.152667,0.096997,0.116609,0.041742,0.169424,0.044114,0.027668,0.19867,0.069268,0.143556
483.703003,0.090348,0.109935,0.061219,0.154088,0.098756,0.117118,0.040985,0.171539,0.046665,0.02824,0.197979,0.069393,0.144587
485.890991,0.089921,0.109893,0.062415,0.154937,0.100176,0.117771,0.043579,0.174605,0.047653,0.027775,0.197879,0.069286,0.146767
487.348999,0.091171,0.11106,0.062955,0.155546,0.101224,0.117773,0.04339,0.174934,0.047853,0.028046,0.19753,0.07016,0.147691
489.536011,0.092307,0.111358,0.063968,0.155888,0.104773,0.118957,0.043581,0.177701,0.048499,0.028306,0.197617,0.071114,0.148843
491.723999,0.09205,0.109645,0.062872,0.157695,0.105922,0.117967,0.042902,0.179676,0.047963,0.027653,0.19801,0.072205,0.150735
493.911011,0.093588,0.111264,0.063627,0.157596,0.107558,0.11781,0.045777,0.181324,0.046727,0.027693,0.197314,0.072605,0.152494
495.368988,0.094179,0.112088,0.065323,0.158506,0.1093,0.121117,0.045737,0.18349,0.04826,0.027906,0.198321,0.073262,0.154447
497.556,0.095331,0.113485,0.065461,0.159497,0.111017,0.123172,0.047666,0.184873,0.047338,0.027896,0.199337,0.0751,0.155927
499.743988,0.097125,0.116606,0.066141,0.161528,0.111604,0.126111,0.048589,0.186674,0.048633,0.028349,0.199675,0.076744,0.157388
501.931,0.098006,0.118927,0.067997,0.162534,0.113114,0.129389,0.050589,0.186845,0.048147,0.028929,0.200757,0.077565,0.160684
503.389008,0.098839,0.120957,0.068704,0.162757,0.113639,0.132022,0.0519,0.189182,0.048455,0.029722,0.201807,0.078278,0.162517
505.575989,0.102419,0.124051,0.070695,0.16489,0.115818,0.135569,0.054978,0.191624,0.051725,0.030625,0.201344,0.080298,0.166894
507.764008,0.10552,0.128183,0.072418,0.167569,0.116962,0.141223,0.055757,0.194245,0.054626,0.031368,0.20332,0.082299,0.171312
509.950989,0.106871,0.132082,0.074138,0.169698,0.119044,0.145778,0.057766,0.195528,0.055186,0.031946,0.203308,0.085171,0.176052
511.408997,0.108437,0.134475,0.076069,0.170795,0.119314,0.148964,0.061632,0.198663,0.057073,0.032194,0.203636,0.086849,0.180598
513.596985,0.111266,0.138354,0.078763,0.172269,0.122125,0.15696,0.064133,0.20171,0.059476,0.032929,0.204768,0.090672,0.186148
515.783997,0.113498,0.143035,0.081034,0.175854,0.125192,0.167742,0.069517,0.205986,0.064217,0.034137,0.206558,0.094465,0.19272
517.971008,0.115008,0.14667,0.084209,0.179539,0.127107,0.179671,0.074277,0.205801,0.068902,0.034389,0.207485,0.09895,0.200672
519.429016,0.115686,0.151367,0.086591,0.181966,0.12832,0.189428,0.076485,0.207925,0.071633,0.035206,0.208344,0.10207,0.204715
521.617004,0.118392,0.156318,0.08997,0.185085,0.132465,0.201715,0.078851,0.210285,0.076302,0.036409,0.208095,0.106961,0.212161
523.804016,0.122395,0.16069,0.092844,0.190102,0.134607,0.213815,0.084371,0.213022,0.079497,0.037635,0.20898,0.110782,0.218773
525.991028,0.127157,0.166024,0.094096,0.194082,0.137377,0.228666,0.084856,0.219444,0.083214,0.039294,0.209513,0.113879,0.225391
527.450012,0.127613,0.168994,0.094784,0.195154,0.139379,0.236935,0.088611,0.221688,0.082983,0.040245,0.210421,0.115426,0.230591
529.637024,0.129278,0.171093,0.095854,0.197031,0.139692,0.243333,0.089017,0.223637,0.083865,0.040325,0.20953,0.119194,0.235106
531.823975,0.131797,0.175451,0.098926,0.198653,0.142255,0.248924,0.092061,0.227892,0.083867,0.040503,0.210491,0.120441,0.23954
533.281982,0.13392,0.177228,0.099768,0.199381,0.143979,0.251983,0.092919,0.232161,0.084652,0.041065,0.210903,0.120878,0.243908
535.469971,0.134779,0.177131,0.101273,0.201435,0.147184,0.259952,0.09691,0.237919,0.084951,0.041147,0.211124,0.122437,0.247513
537.656982,0.135201,0.178842,0.102119,0.202124,0.149748,0.265191,0.0973,0.244953,0.084885,0.04168,0.211171,0.123614,0.252477
539.843994,0.135501,0.178705,0.104848,0.203168,0.15345,0.270364,0.099378,0.247879,0.087738,0.041978,0.211962,0.125335,0.256703
541.302979,0.136553,0.178672,0.105777,0.204744,0.154718,0.271315,0.09939,0.250799,0.089575,0.042369,0.212127,0.126441,0.259495
543.48999,0.140148,0.179927,0.108185,0.206812,0.159125,0.276167,0.101919,0.25756,0.090134,0.043069,0.212296,0.126389,0.263403
545.677002,0.140383,0.180312,0.108765,0.206147,0.162196,0.28142,0.101844,0.261903,0.091714,0.043672,0.211783,0.126837,0.267319
547.864014,0.140186,0.179047,0.109158,0.204459,0.164435,0.282035,0.102459,0.264876,0.092225,0.043227,0.212312,0.127866,0.270689
549.322998,0.141447,0.179964,0.109306,0.203435,0.166494,0.279541,0.102187,0.267699,0.092342,0.043201,0.212235,0.126841,0.271764
551.51001,0.142662,0.17964,0.109455,0.201881,0.170718,0.279442,0.10306,0.271284,0.093833,0.043452,0.211863,0.125961,0.272461
552.239014,0.142178,0.179003,0.109487,0.200105,0.172224,0.278341,0.1037,0.273317,0.092272,0.043517,0.212359,0.125582,0.272796
553.697021,0.142156,0.178165,0.109474,0.200046,0.175289,0.274963,0.102452,0.275969,0.093725,0.043034,0.211832,0.123924,0.273916
555.88501,0.141805,0.176512,0.108654,0.199494,0.180756,0.270013,0.102621,0.284623,0.093675,0.042018,0.210322,0.120942,0.273904
557.343018,0.139991,0.175744,0.105694,0.198554,0.182722,0.268716,0.103036,0.291246,0.094458,0.042101,0.21056,0.12082,0.274438
559.530029,0.139124,0.173137,0.10273,0.198107,0.187074,0.263097,0.10149,0.300996,0.094523,0.041894,0.210536,0.119983,0.273665
561.71698,0.138794,0.171085,0.102198,0.198768,0.192713,0.257598,0.100794,0.309733,0.092382,0.042351,0.209169,0.117068,0.272362
563.905029,0.137656,0.1671,0.099169,0.194566,0.196661,0.254173,0.100696,0.317421,0.092189,0.042047,0.208399,0.114218,0.27201
565.362976,0.136604,0.164346,0.098352,0.195641,0.200092,0.249739,0.098233,0.320841,0.09198,0.041182,0.208122,0.112562,0.271062
567.549988,0.134165,0.162231,0.096295,0.194089,0.203208,0.242275,0.095456,0.326768,0.089628,0.039991,0.2059,0.111274,0.270786
569.737976,0.131751,0.159621,0.093993,0.189227,0.206648,0.235784,0.091738,0.332895,0.087288,0.038736,0.205248,0.109227,0.270165
571.924988,0.131345,0.154656,0.094694,0.186151,0.212707,0.226087,0.088756,0.335664,0.089088,0.038335,0.204344,0.106241,0.267314
573.382996,0.130791,0.151452,0.094738,0.185424,0.215432,0.220279,0.088258,0.335744,0.086885,0.037897,0.203269,0.104475,0.266111
575.570007,0.128477,0.147907,0.091879,0.181609,0.218237,0.214525,0.086393,0.34011,0.08635,0.036782,0.202394,0.102067,0.264637
577.757996,0.125327,0.146529,0.091748,0.183376,0.22399,0.204769,0.083159,0.348061,0.084609,0.036118,0.203235,0.100976,0.26371
579.945007,0.124465,0.144398,0.091764,0.179098,0.22756,0.200565,0.084125,0.357758,0.08596,0.035013,0.204135,0.099885,0.262982
581.403015,0.124469,0.142709,0.091076,0.179227,0.230515,0.196182,0.083578,0.363204,0.085079,0.034951,0.203888,0.097771,0.261278
583.590027,0.1228,0.139677,0.09253,0.179148,0.234538,0.194592,0.082325,0.366654,0.085707,0.035632,0.204804,0.09648,0.260358
585.778015,0.121895,0.138366,0.090925,0.179839,0.236743,0.192721,0.083227,0.375405,0.083179,0.034514,0.206194,0.094988,0.260922
587.965027,0.121318,0.136358,0.090786,0.177899,0.239472,0.188241,0.081531,0.383154,0.081111,0.033657,0.20815,0.094792,0.261552
589.422974,0.121204,0.13609,0.091319,0.178164,0.241372,0.184738,0.080552,0.38616,0.082173,0.033615,0.209648,0.094619,0.261773
591.611023,0.121519,0.133356,0.09119,0.176775,0.241797,0.189125,0.079645,0.389469,0.083965,0.03298,0.211076,0.094092,0.260148
593.797974,0.122642,0.132245,0.091141,0.176649,0.242776,0.184645,0.078412,0.391488,0.081257,0.0329,0.214002,0.092338,0.260488
595.984985,0.122778,0.130238,0.090504,0.176251,0.245395,0.186355,0.078643,0.393498,0.082329,0.03273,0.217817,0.091767,0.259266
597.442993,0.123853,0.129264,0.0897,0.175226,0.245795,0.18525,0.077855,0.396543,0.081714,0.032522,0.219515,0.0912,0.258647
599.630981,0.123706,0.127963,0.089337,0.175456,0.247789,0.181677,0.077814,0.39854,0.080081,0.032764,0.2214,0.090636,0.257859
601.817993,0.122974,0.128285,0.090126,0.175531,0.252,0.181635,0.076397,0.40238,0.081397,0.032615,0.222407,0.089262,0.256142
603.276001,0.122863,0.126053,0.089223,0.175831,0.253974,0.183051,0.075328,0.406552,0.07984,0.032256,0.222866,0.087469,0.254795
605.463989,0.121312,0.126198,0.089478,0.174718,0.25658,0.176658,0.0766,0.405661,0.076403,0.031721,0.223817,0.085052,0.255302
607.651001,0.119712,0.126109,0.088957,0.173614,0.259284,0.174297,0.078491,0.407888,0.074333,0.031937,0.223443,0.084006,0.252698
609.838013,0.118135,0.125551,0.089017,0.171488,0.260051,0.170839,0.076694,0.405512,0.073591,0.031852,0.222362,0.082687,0.251293
611.296021,0.117509,0.126209,0.089056,0.171893,0.261379,0.166895,0.076793,0.408926,0.073093,0.031624,0.221993,0.082175,0.250282
613.484009,0.117117,0.125463,0.088958,0.168209,0.263233,0.165218,0.072959,0.409853,0.07468,0.030746,0.222392,0.080867,0.248223
615.671021,0.116683,0.124304,0.087067,0.169576,0.263973,0.161765,0.071714,0.410047,0.075292,0.031543,0.22428,0.079932,0.247916
617.857971,0.117321,0.123698,0.086213,0.168675,0.264476,0.157677,0.074764,0.409284,0.075648,0.032828,0.224228,0.080201,0.245877
619.317017,0.117176,0.121617,0.086313,0.167485,0.264779,0.158324,0.074431,0.412025,0.074765,0.032833,0.224448,0.081411,0.245095
621.504028,0.117187,0.120375,0.085312,0.167326,0.26638,0.158722,0.072126,0.416937,0.076067,0.032201,0.224447,0.080928,0.243615
623.690979,0.116735,0.119224,0.085827,0.167388,0.268003,0.157795,0.073293,0.426859,0.074575,0.032594,0.226995,0.081003,0.243208
625.877991,0.116696,0.120154,0.086973,0.167771,0.268507,0.156132,0.075682,0.427877,0.072843,0.032371,0.229411,0.079881,0.240798
627.336975,0.116736,0.118763,0.086412,0.168255,0.269355,0.156656,0.075088,0.430876,0.072849,0.033148,0.229461,0.080275,0.241103
629.523987,0.117236,0.1191,0.086805,0.165952,0.270383,0.160134,0.075768,0.433686,0.071834,0.032644,0.23029,0.079973,0.23981
631.710999,0.116146,0.117975,0.087051,0.165068,0.270052,0.161796,0.072055,0.437488,0.071246,0.031196,0.23208,0.078743,0.240725
633.898987,0.116525,0.115811,0.086186,0.163847,0.270823,0.158158,0.067063,0.439539,0.074338,0.030851,0.235924,0.076819,0.239706
635.356995,0.115851,0.113796,0.085976,0.162011,0.270797,0.158661,0.065698,0.437722,0.073529,0.030651,0.237278,0.076627,0.240345
637.544006,0.113305,0.111306,0.084846,0.159924,0.270455,0.156884,0.06337,0.436673,0.07307,0.029165,0.237404,0.075145,0.239082
639.731018,0.1125,0.107487,0.08489,0.15701,0.272609,0.156338,0.062802,0.436488,0.076184,0.029826,0.239017,0.074405,0.238929
641.919006,0.112107,0.106555,0.082973,0.15403,0.274142,0.153222,0.062619,0.434353,0.075618,0.029009,0.241239,0.071729,0.237892
643.377014,0.111163,0.104545,0.082832,0.152996,0.274322,0.147932,0.063611,0.436527,0.074898,0.027949,0.241183,0.070669,0.236037
645.564026,0.110073,0.105563,0.082334,0.151684,0.276133,0.145495,0.064075,0.437537,0.075688,0.028384,0.242922,0.070684,0.232239
647.752014,0.107583,0.106246,0.079879,0.15119,0.277612,0.143796,0.066249,0.439337,0.073728,0.027745,0.245724,0.069415,0.229801
649.939026,0.108749,0.105907,0.079796,0.149608,0.281012,0.138726,0.066538,0.442816,0.071065,0.027112,0.249264,0.066893,0.226542
651.396973,0.108094,0.104826,0.078563,0.150168,0.281303,0.137228,0.067035,0.443487,0.070741,0.028447,0.250085,0.066254,0.224363
653.583984,0.10723,0.103389,0.076313,0.14839,0.280256,0.134735,0.062528,0.447158,0.066382,0.027637,0.250803,0.063963,0.221719
655.771973,0.104968,0.102525,0.075648,0.148538,0.281763,0.132064,0.062314,0.450325,0.06489,0.02781,0.25279,0.064165,0.21992
657.958984,0.103108,0.101107,0.075783,0.144869,0.281836,0.132646,0.057693,0.453515,0.06081,0.029754,0.255616,0.063262,0.219552
659.416992,0.103926,0.098391,0.075969,0.142797,0.283976,0.133043,0.053505,0.452329,0.060292,0.029442,0.256736,0.062306,0.217982
661.60498,0.103813,0.095866,0.076713,0.142159,0.285328,0.130387,0.053741,0.453288,0.059062,0.028976,0.255906,0.060863,0.217241
663.791992,0.104221,0.093894,0.076888,0.13731,0.284329,0.129574,0.053483,0.450002,0.060831,0.029123,0.255244,0.061467,0.215517
665.979004,0.10109,0.0949,0.077334,0.135553,0.286489,0.131315,0.04984,0.453028,0.0615,0.028573,0.255666,0.06085,0.21576
667.437012,0.099964,0.093626,0.074945,0.135088,0.288361,0.131035,0.051047,0.452875,0.061693,0.02854,0.255443,0.059925,0.214847
669.625,0.101313,0.092725,0.076019,0.132504,0.285629,0.131208,0.053579,0.451819,0.05937,0.02853,0.255041,0.059136,0.213722
